Ticket_id,ticket_date,Employee_id,Agent_id,Issue_Category,Ticket_Issue,Assigned_Team,Priority,SLA,Resolution_time,SLA_Breach,,,
0042372044,2022-04-29,884,10,Hardware,Printer not printing,Hardware Support Team,Medium,24,17,No,,,
0042373700,2023-04-20,600,47,Software,Application crash,Application Support Team,Medium,24,91,Yes,,,
0042374223,2024-06-22,812,12,System,Blue screen error,System Administration Team,High,4,39,Yes,,,
0042375701,2024-04-10,380,47,Login Access,VPN login issue,Access Management Team,Medium,24,61,Yes,,,
0042377044,2022-08-28,644,50,System,Blue screen error,System Administration Team,High,4,4,No,,,
0042378451,2024-07-13,565,14,Software,Application crash,Application Support Team,Medium,24,8,No,,,
0042378851,2022-04-19,775,8,Login Access,Account locked,Access Management Team,Medium,24,13,No,,,
0042379712,2024-08-12,591,17,Login Access,VPN login issue,Access Management Team,Low,48,89,Yes,,,
0042380382,2023-06-13,778,3,System,Blue screen error,System Administration Team,High,4,37,Yes,,,
0042381111,2022-06-07,1721,21,Login Access,Unable to login to system,Access Management Team,High,4,2,No,,,
0042384203,2024-12-01,650,2,Software,Outlook not opening,Application Support Team,Low,48,40,No,,,
0042385176,2022-04-25,1167,41,Login Access,Unable to login to system,Access Management Team,High,4,3,No,,,
0042385797,2024-11-06,169,47,Hardware,Monitor display issue,Hardware Support Team,Medium,24,6,No,,,
0042386880,2022-12-26,1768,28,Software,Application crash,Application Support Team,Medium,24,21,No,,,
0042388958,2022-03-30,1255,29,Login Access,Unable to login to system,Access Management Team,Low,48,34,No,,,
0042392558,2024-12-10,1415,5,System,Operating system crash,System Administration Team,High,4,16,Yes,,,
0042392807,2023-01-12,1500,48,Login Access,Password reset request,Access Management Team,Low,48,4,No,,,
0042392906,2024-03-23,40,29,System,System running slow,System Administration Team,Low,48,62,Yes,,,
0042393835,2024-11-02,333,18,System,Operating system crash,System Administration Team,High,4,4,No,,,
0042393850,2023-11-30,1315,18,Hardware,Keyboard not working,Hardware Support Team,High,4,15,Yes,,,
0042394903,2023-07-10,1320,29,Hardware,Keyboard not working,Hardware Support Team,High,4,1,No,,,
0042395295,2023-08-13,539,2,System,Operating system crash,System Administration Team,High,4,1,No,,,
0042398499,2023-07-14,1029,34,Login Access,VPN login issue,Access Management Team,High,4,1,No,,,
0042399179,2022-06-20,1777,21,Login Access,Account locked,Access Management Team,Medium,24,3,No,,,
0042399481,2024-05-02,1228,4,Login Access,Password reset request,Access Management Team,Low,48,36,No,,,
0042399842,2024-05-23,1414,38,Software,Software installation failure,Application Support Team,Medium,24,1,No,,,
0042401047,2022-10-18,1404,30,Login Access,Password reset request,Access Management Team,Low,48,10,No,,,
